"","iso_o","pageRank_total.name","pageRank_total.wpr","close_total.name","close_total.closeness","outdegree_total.name","outdegree_total.degree","indegree_total.name","indegree_total.degree","local_clust_tt_total","local_clust_out_total"
"134","NRU",134,0.00136845483000518,134,2068.7792748674,134,25.5720210388716,134,15.1169003511824,0.984444456257624,0.985696151433839
"135","NZL",135,0.00360508192028075,135,64755.730721462,135,3749.78781537469,135,3369.70268406822,0.963800847629204,0.959327034892747
"136","OMN",136,0.00269251523107155,136,80453.4447532131,136,4106.97834719342,136,2494.28685556718,0.989407339546779,0.98455137648858
"137","PAK",137,0.00471229625767528,137,53136.7757270648,137,2947.08171467897,137,4696.18085969378,0.944929255169553,0.933378250606139
"138","PAN",138,0.00418812996781031,138,27087.5725443541,138,1457.7782637606,138,5903.19745950589,0.97397071851443,0.916728051038738
"139","PER",139,0.00354686455391145,139,66868.6311664407,139,4352.34487026216,139,3658.20952887598,0.970174280645093,0.973856511330806
"140","PHL",140,0.00423163560426467,140,66053.0553597568,140,3673.7688776543,140,5865.55106156149,0.977908502405215,0.979304441552534
"141","PLW",141,0.00152564117723276,141,1185.58439112476,141,9.34962892306486,141,21.2664171977452,0.988044377096413,0.967883912041042
"142","PNG",142,0.00178617958364263,142,45253.5316085487,142,1067.70308260006,142,653.42145693016,0.996997203656783,0.996492668638585
"143","POL",143,0.00946499630588132,143,122103.769061289,143,11972.8680019117,143,13898.522177487,0.968414697180549,0.971327011605525
"144","PRK",144,0.00186112956688795,144,29184.7604478212,144,412.48394330791,144,669.3134764388,0.983797442979524,0.972562332567221
"145","PRT",145,0.00598482202126461,145,71982.9250764721,145,5028.2517718505,145,7526.48484792657,0.970683339731483,0.964874254223719
"146","PRY",146,0.00212703332858293,146,39475.852040259,146,1092.5952645098,146,1288.82388046472,0.980387944396905,0.96646227592324
"147","PYF",147,0.00196341105319564,147,4980.26800680854,147,70.966532786839,147,334.041650047395,0.992544001079224,0.994622615242355
